Property_ID,City,Area_Locality,Property_Type,BHK,Size_sqft,Bathroom_Count,Furnishing_Status,Floor_Number,Total_Floors,Parking_Available,Distance_to_Metro_km,Property_Age_Years,Monthly_Rent
P00001,Pune,Hinjewadi,Apartment,3,1453.0,2.0,Furnished,3,25,Yes,5.99,1,43836
P00002,Bangalore,Electronic City,Apartment,5,2915.0,1.0,Unfurnished,6,24,No,2.36,18,76534
P00003,Bangalore,Electronic City,Villa,4,1843.0,3.0,Furnished,6,17,Yes,1.11,3,64624
P00004,Hyderabad,Madhapur,Apartment,4,2646.0,1.0,Semi-Furnished,2,20,No,8.33,19,65439
P00005,Delhi,Rohini,Villa,1,637.0,1.0,Semi-Furnished,2,10,Yes,3.93,14,25346
P00006,Hyderabad,Gachibowli,Independent House,3,1308.0,3.0,Unfurnished,20,21,Yes,5.43,7,36924
P00007,Mumbai,Borivali,Independent House,5,1349.0,6.0,Semi-Furnished,1,9,Yes,8.09,12,58352
P00008,Bangalore,Electronic City,Villa,3,1320.0,4.0,Semi-Furnished,20,24,Yes,2.8,7,49058
P00009,Delhi,Saket,Villa,5,2204.0,5.0,Semi-Furnished,11,15,Yes,5.19,2,67139
P00010,Bangalore,Electronic City,Villa,2,2179.0,3.0,Furnished,12,19,No,5.39,17,58768
P00011,Pune,Hinjewadi,Villa,5,1542.0,6.0,Semi-Furnished,3,13,No,1.75,0,57101
P00012,Pune,Baner,Villa,2,2529.0,1.0,Unfurnished,9,16,Yes,3.86,5,63647
P00013,Delhi,Dwarka,Villa,3,2451.0,1.0,Furnished,11,25,No,2.55,7,71951
P00014,Bangalore,Whitefield,Villa,4,733.0,5.0,Furnished,4,20,Yes,2.8,19,38552
P00015,Chennai,T Nagar,Villa,3,2084.0,3.0,Semi-Furnished,16,24,Yes,2.63,2,60647
P00016,Bangalore,Electronic City,Villa,2,479.0,1.0,Unfurnished,20,21,Yes,0.86,1,23505
P00017,Bangalore,Electronic City,Independent House,4,1327.0,5.0,Furnished,18,23,No,2.58,15,50851
P00018,Chennai,Velachery,Apartment,4,1901.0,4.0,Semi-Furnished,14,15,Yes,0.79,10,57203
P00019,Chennai,T Nagar,Apartment,5,2287.0,2.0,Semi-Furnished,5,14,No,2.65,2,67161
P00020,Delhi,Dwarka,Apartment,5,510.0,1.0,Furnished,5,19,No,4.92,12,26242
P00021,Chennai,Anna Nagar,Apartment,4,1536.0,4.0,Semi-Furnished,13,25,No,1.72,9,48137
P00022,Bangalore,Whitefield,Villa,3,684.0,1.0,Unfurnished,15,24,Yes,0.76,16,25130
P00023,Chennai,Velachery,Villa,1,1413.0,2.0,Furnished,18,20,Yes,6.27,13,42655
P00024,Delhi,Saket,Independent House,2,1736.0,1.0,Semi-Furnished,12,15,No,4.68,2,46366
P00025,Mumbai,Andheri,Apartment,5,1323.0,5.0,Semi-Furnished,4,16,Yes,8.82,11,56727
P00026,Chennai,Anna Nagar,Villa,3,2955.0,1.0,Unfurnished,17,22,Yes,9.4,4,69646
P00027,Bangalore,Whitefield,Villa,5,1086.0,3.0,Semi-Furnished,19,21,No,2.2,20,40724
P00028,Delhi,Karol Bagh,Independent House,1,828.0,2.0,Semi-Furnished,1,2,No,7.76,20,22317
P00029,Chennai,Anna Nagar,Villa,4,2747.0,1.0,Furnished,2,25,Yes,5.55,11,76717
P00030,Delhi,Rohini,Independent House,2,621.0,2.0,Semi-Furnished,1,13,Yes,6.88,3,25447
P00031,Delhi,Karol Bagh,Villa,2,1419.0,1.0,Furnished,13,14,Yes,7.42,10,43967
P00032,Pune,Wakad,Independent House,2,892.0,2.0,Furnished,15,19,Yes,8.2,14,28538
P00033,Hyderabad,Gachibowli,Apartment,1,1241.0,2.0,Semi-Furnished,8,11,No,3.64,16,33930
P00034,Pune,Baner,Apartment,1,1519.0,1.0,Unfurnished,8,10,Yes,6.05,11,38673
P00035,Hyderabad,Kukatpally,Villa,5,,4.0,Unfurnished,6,15,Yes,7.15,0,36017
P00036,Delhi,Rohini,Independent House,4,736.0,3.0,Unfurnished,10,21,Yes,7.25,9,29413
P00037,Hyderabad,Kukatpally,Independent House,4,1661.0,5.0,Furnished,6,20,No,6.84,5,55938
P00038,Delhi,Saket,Independent House,5,451.0,3.0,Semi-Furnished,6,20,No,4.76,14,28542
P00039,Chennai,Anna Nagar,Villa,2,797.0,2.0,Unfurnished,20,25,No,1.12,7,27957
P00040,Hyderabad,Gachibowli,Apartment,2,550.0,1.0,Furnished,15,25,Yes,4.66,20,24186
P00041,Chennai,Anna Nagar,Independent House,4,1449.0,2.0,Unfurnished,0,25,Yes,7.83,7,38968
P00042,Pune,Kharadi,Apartment,5,1470.0,1.0,Semi-Furnished,4,19,No,9.51,14,42556
P00043,Pune,Kharadi,Villa,4,1101.0,4.0,Semi-Furnished,8,16,No,7.7,16,35106
P00044,Pune,Wakad,Independent House,4,767.0,3.0,Furnished,8,19,No,8.95,2,28729
P00045,Chennai,T Nagar,Independent House,2,1326.0,1.0,Semi-Furnished,13,19,No,4.27,6,37757
P00046,Mumbai,Andheri,Villa,4,2403.0,1.0,Semi-Furnished,9,22,No,5.47,17,77291
P00047,Chennai,Anna Nagar,Apartment,3,2235.0,4.0,Furnished,12,18,No,7.3,14,59450
P00048,Delhi,Dwarka,Independent House,5,2761.0,6.0,Furnished,2,23,No,1.53,14,83115
P00049,Bangalore,Marathahalli,Independent House,3,1316.0,4.0,Semi-Furnished,10,23,No,2.93,13,43773
P00050,Bangalore,Indiranagar,Apartment,5,663.0,3.0,Furnished,20,21,Yes,7.59,7,34225
P00051,Bangalore,Electronic City,Apartment,2,2389.0,3.0,Furnished,18,20,No,7.05,11,64669
P00052,Delhi,Dwarka,Apartment,3,892.0,1.0,Semi-Furnished,18,24,No,4.09,6,29807
P00053,Delhi,Rohini,Apartment,3,2909.0,1.0,Unfurnished,1,13,No,6.68,2,73740
P00054,Pune,Baner,Apartment,4,2457.0,1.0,Semi-Furnished,11,22,No,7.13,13,60621
P00055,Pune,Baner,Villa,5,2430.0,4.0,Semi-Furnished,18,21,No,8.55,2,66426
P00056,Mumbai,Bandra,Independent House,5,2949.0,6.0,Semi-Furnished,10,11,No,8.54,5,94821
P00057,Chennai,OMR,Independent House,3,1595.0,3.0,Unfurnished,0,17,Yes,1.04,13,47176
P00058,Delhi,Rohini,Villa,4,2460.0,4.0,Furnished,2,12,Yes,4.16,7,74964
P00059,Pune,Baner,Independent House,5,2624.0,3.0,Semi-Furnished,17,23,No,7.09,8,69890
P00060,Hyderabad,Gachibowli,Apartment,2,1742.0,1.0,Unfurnished,17,20,Yes,2.32,15,44381
P00061,Pune,Baner,Apartment,2,1663.0,1.0,Semi-Furnished,5,15,Yes,7.14,4,43472
P00062,Bangalore,Whitefield,Villa,3,967.0,4.0,Furnished,0,19,No,4.8,14,38425
P00063,Chennai,Velachery,Independent House,4,917.0,1.0,Semi-Furnished,15,17,Yes,1.69,18,32424
P00064,Bangalore,Electronic City,Apartment,5,2154.0,5.0,Unfurnished,19,21,No,4.62,14,62800
P00065,Delhi,Karol Bagh,Independent House,5,2993.0,,Unfurnished,3,10,Yes,2.79,2,80358
P00066,Chennai,T Nagar,Villa,1,1091.0,1.0,Semi-Furnished,14,24,No,3.05,7,30319
P00067,Pune,Baner,Villa,4,741.0,2.0,Semi-Furnished,20,25,Yes,4.37,17,26742
P00068,Pune,Wakad,Independent House,2,742.0,1.0,Furnished,9,19,No,1.42,9,31013
P00069,Mumbai,Powai,Villa,5,2472.0,4.0,Furnished,19,20,No,7.4,19,81805
P00070,Bangalore,Whitefield,Apartment,5,2854.0,1.0,Unfurnished,8,10,Yes,4.81,20,76083
P00071,Hyderabad,Gachibowli,Villa,4,2464.0,1.0,Semi-Furnished,11,18,No,3.35,3,65907
P00072,Hyderabad,Kukatpally,Villa,4,1630.0,4.0,Unfurnished,1,16,Yes,3.28,10,47177
P00073,Mumbai,Andheri,Villa,5,2342.0,4.0,Furnished,6,23,No,6.3,15,83452
P00074,Mumbai,Andheri,Apartment,3,2699.0,2.0,Semi-Furnished,14,22,Yes,0.48,20,87153
P00075,Chennai,T Nagar,Independent House,5,506.0,5.0,Semi-Furnished,2,10,Yes,4.72,3,32330
P00076,Chennai,Anna Nagar,Villa,3,2534.0,3.0,Semi-Furnished,15,23,Yes,4.68,4,69228
P00077,Chennai,T Nagar,Apartment,3,2149.0,3.0,Unfurnished,8,9,No,7.32,18,53630
P00078,Pune,Kharadi,Apartment,4,2656.0,4.0,Semi-Furnished,10,19,No,4.66,10,69948
P00079,Pune,Wakad,Villa,4,1406.0,4.0,Furnished,10,22,No,7.11,12,45112
P00080,Pune,Wakad,Independent House,1,967.0,2.0,Furnished,14,16,No,0.35,4,34284
P00081,Pune,Wakad,Apartment,4,1535.0,3.0,Unfurnished,12,23,Yes,8.55,17,40665
P00082,Hyderabad,Kukatpally,Villa,1,2979.0,1.0,Furnished,20,23,Yes,7.52,13,71316
P00083,Pune,Hinjewadi,Independent House,2,1676.0,1.0,Furnished,10,23,Yes,3.08,11,49418
P00084,Chennai,T Nagar,Villa,4,2768.0,2.0,Furnished,5,8,No,6.27,7,76136
P00085,Delhi,Rohini,Apartment,4,1490.0,4.0,Semi-Furnished,0,15,No,6.84,5,45839
P00086,Mumbai,Powai,Villa,3,2187.0,3.0,Semi-Furnished,9,16,No,8.56,3,70053
P00087,Mumbai,Powai,Villa,3,1659.0,1.0,Unfurnished,12,17,Yes,5.75,1,60347
P00088,Pune,Kharadi,Independent House,2,2936.0,2.0,Furnished,20,22,No,6.84,4,76972
P00089,Bangalore,Whitefield,Independent House,4,586.0,5.0,Semi-Furnished,4,7,No,3.4,13,29480
P00090,Chennai,T Nagar,Villa,3,2624.0,3.0,Furnished,8,24,No,7.52,10,67583
P00091,Mumbai,Andheri,Apartment,2,2077.0,3.0,Semi-Furnished,2,15,Yes,2.79,3,72865
P00092,Hyderabad,Madhapur,Villa,4,1971.0,1.0,Unfurnished,7,23,Yes,6.27,17,50513
P00093,Delhi,Rohini,Villa,1,2351.0,2.0,Unfurnished,13,15,Yes,0.64,1,62719
P00094,Mumbai,Andheri,Apartment,2,2651.0,1.0,Semi-Furnished,14,20,No,5.96,4,79626
P00095,Pune,Hinjewadi,Independent House,5,2121.0,3.0,Furnished,11,15,No,4.56,7,64109
P00096,Bangalore,Marathahalli,Villa,3,698.0,4.0,Semi-Furnished,6,10,No,1.1,6,35817
P00097,Pune,Hinjewadi,Apartment,3,1447.0,2.0,Unfurnished,6,9,Yes,5.95,7,39097
P00098,Chennai,Velachery,Independent House,2,982.0,3.0,Semi-Furnished,5,9,Yes,1.49,11,32904
P00099,Delhi,Saket,Apartment,2,1536.0,1.0,,13,22,Yes,7.51,15,45882
P00100,Hyderabad,Hitech City,Independent House,5,1357.0,5.0,Furnished,16,21,No,6.5,0,47627
P00101,Mumbai,Borivali,Independent House,1,2458.0,2.0,Furnished,2,13,Yes,0.84,8,83304
P00102,Pune,Baner,Independent House,5,2623.0,3.0,Semi-Furnished,16,23,Yes,7.97,3,74548
P00103,Pune,Wakad,Independent House,4,1385.0,4.0,Semi-Furnished,14,21,No,7.35,10,42188
P00104,Hyderabad,Madhapur,Independent House,2,2392.0,1.0,Furnished,2,5,No,1.15,11,63461
P00105,Delhi,Dwarka,Villa,5,2750.0,3.0,Unfurnished,3,17,No,8.76,13,74072
P00106,Bangalore,Marathahalli,Villa,3,1890.0,1.0,Unfurnished,16,20,Yes,6.64,7,49690
P00107,Hyderabad,Madhapur,Apartment,3,2801.0,2.0,Semi-Furnished,17,18,No,0.48,8,77826
P00108,Hyderabad,Madhapur,Independent House,1,1193.0,1.0,Unfurnished,12,14,Yes,7.46,0,28348
P00109,Pune,Wakad,Independent House,4,2308.0,3.0,Furnished,11,16,No,7.81,18,64243
P00110,Bangalore,Whitefield,Apartment,2,2980.0,1.0,Unfurnished,2,11,No,6.69,15,72984
P00111,Mumbai,Borivali,Independent House,2,2548.0,1.0,Semi-Furnished,13,15,No,6.85,18,74849
P00112,Delhi,Saket,Apartment,2,2068.0,3.0,Furnished,0,7,No,9.46,4,57020
P00113,Hyderabad,Madhapur,Apartment,1,2487.0,2.0,Furnished,4,17,Yes,5.1,11,63109
P00114,Mumbai,Andheri,Independent House,1,2333.0,1.0,Semi-Furnished,18,22,No,7.15,13,67409
P00115,Bangalore,Indiranagar,Apartment,3,1153.0,4.0,Unfurnished,11,13,No,8.48,7,36163
P00116,Delhi,Karol Bagh,Villa,1,2071.0,2.0,Unfurnished,10,14,No,7.84,2,51887
P00117,Pune,Hinjewadi,Villa,5,1244.0,3.0,Semi-Furnished,20,22,Yes,1.21,8,43957
P00118,Chennai,T Nagar,Villa,1,1175.0,2.0,Semi-Furnished,18,25,No,6.88,18,31505
P00119,Pune,Baner,Villa,3,1068.0,4.0,Furnished,15,23,No,8.0,18,31516
P00120,Hyderabad,Hitech City,Independent House,4,2301.0,1.0,Furnished,11,25,No,0.95,2,70782
P00121,Delhi,Karol Bagh,Independent House,5,2720.0,6.0,Furnished,14,24,Yes,3.35,15,84969
P00122,Chennai,Velachery,Independent House,1,1856.0,1.0,Unfurnished,20,22,Yes,2.63,14,45901
P00123,Delhi,Rohini,Independent House,3,1608.0,4.0,Semi-Furnished,10,21,Yes,7.93,20,46862
P00124,Bangalore,Marathahalli,Apartment,5,2033.0,3.0,Semi-Furnished,19,21,No,1.0,4,65921
